training_year,trial,codes,sharpe
2019,100,159915.SZ|160644.SZ|161226.SZ|164824.SZ|510050.SH|510180.SH|510300.SH|510500.SH|510880.SH|512170.SH|512880.SH|512980.SH|513030.SH|513100.SH|513880.SH,1.5652779516926336
2020,1,159901.SZ|159920.SZ|159928.SZ|159967.SZ|160644.SZ|510880.SH|512040.SH|512170.SH|512400.SH|512800.SH|512880.SH|512890.SH|513880.SH|515220.SH|518880.SH,0.7867104900766988
2020,2,159901.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|510050.SH|510500.SH|512040.SH|512100.SH|512200.SH|512880.SH|512890.SH|512980.SH|513500.SH|518880.SH,0.7250273143741665
2020,3,159915.SZ|159928.SZ|161226.SZ|510050.SH|510180.SH|512040.SH|512100.SH|512660.SH|512880.SH|512980.SH|513080.SH|513500.SH|513880.SH|515220.SH|518880.SH,0.7711009193628368
2020,4,159920.SZ|159949.SZ|159980.SZ|159985.SZ|161226.SZ|164824.SZ|510180.SH|510210.SH|510500.SH|510880.SH|513030.SH|513100.SH|513880.SH|515880.SH|518880.SH,1.984494488823995
2020,5,159901.SZ|159928.SZ|159967.SZ|160644.SZ|510050.SH|510300.SH|512100.SH|512660.SH|512800.SH|512880.SH|512890.SH|513080.SH|513500.SH|513880.SH|518880.SH,0.7610970852645544
2020,6,159920.SZ|159980.SZ|160644.SZ|501018.SH|510180.SH|510300.SH|510500.SH|510880.SH|512200.SH|512400.SH|512800.SH|512880.SH|512980.SH|513030.SH|513100.SH,1.2337727457286771
2020,7,159920.SZ|159928.SZ|159967.SZ|159980.SZ|161226.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512170.SH|512800.SH|513080.SH|513100.SH|513880.SH|515210.SH,0.9790753173283075
2020,8,159901.SZ|159915.SZ|159985.SZ|164824.SZ|510050.SH|510210.SH|510500.SH|510880.SH|512100.SH|512400.SH|512880.SH|512980.SH|513030.SH|513100.SH|515880.SH,1.6279124917366636
2020,9,159920.SZ|159949.SZ|159980.SZ|160644.SZ|510180.SH|510300.SH|510500.SH|510880.SH|512040.SH|512100.SH|512170.SH|512400.SH|512660.SH|515880.SH|518880.SH,0.9036145135655892
2020,10,159915.SZ|159920.SZ|159928.SZ|159949.SZ|159980.SZ|161226.SZ|510050.SH|510210.SH|510300.SH|512400.SH|512660.SH|512880.SH|512890.SH|512980.SH|513880.SH,0.8827647191175876
2020,11,159901.SZ|159915.SZ|159920.SZ|159928.SZ|160644.SZ|164824.SZ|510180.SH|510500.SH|512200.SH|512660.SH|512800.SH|512880.SH|513100.SH|513880.SH|518880.SH,1.3415903989680549
2020,12,159901.SZ|159915.SZ|501018.SH|510050.SH|510210.SH|510880.SH|512100.SH|512170.SH|512200.SH|512880.SH|512890.SH|513030.SH|513080.SH|513500.SH|515210.SH,0.661778030245809
