training_year,holding_year,code,eligible,shapley_score,standard_error,included_mean_sharpe,excluded_mean_sharpe,included_count,excluded_count,rank,selected
2021,2022,159825.SZ,True,-0.10580422938321238,0.1264063329752954,0.21641153819847203,0.3222157675816844,36,64,34,False
2021,2022,513880.SH,True,-0.12301949493167533,0.13371752722943855,0.19678240360223845,0.3198018985339138,29,71,35,False
2021,2022,513030.SH,True,-0.1385406013576474,0.12723169655099287,0.19130404209410423,0.32984464345175163,33,67,36,False
2021,2022,510300.SH,True,-0.17602202640457384,0.12853324302088032,0.1661914873126635,0.34221351371723735,33,67,37,False
2021,2022,159920.SZ,True,-0.18839805757714587,0.1452548035522746,0.1428277018208686,0.33122575939801446,25,75,38,False
2021,2022,513180.SH,True,-0.18843941366531855,0.13602885012692803,0.16352502025792406,0.3519644339232426,36,64,39,False
2021,2022,510050.SH,True,-0.2018283212749123,0.12095075111537908,0.15091955296228582,0.3527478742371981,34,66,40,False
2021,2022,161226.SZ,True,-0.2271316097898173,0.12510238686120081,0.12513411815085582,0.3522657279406731,30,70,41,False
2021,2022,512200.SH,True,-0.23059844811975672,0.12849255640196536,0.12040134683870064,0.35099979495845735,29,71,42,False
2021,2022,159985.SZ,True,-0.23179142714045872,0.12986892506927566,0.12882598881962057,0.3606174159600793,33,67,43,False
2021,2022,159901.SZ,True,-0.2403421573460261,0.12880766362187482,0.10146620542074808,0.3418083627667742,24,76,44,False
2021,2022,513080.SH,True,-0.2940996318666931,0.1157719292117675,0.07237451005970892,0.366474141926402,28,72,45,False
2021,2022,512800.SH,True,-0.3079364476071448,0.1263125607522499,0.07165009615479809,0.37958654376194284,31,69,46,False
2021,2022,159928.SZ,True,-0.36863090762075595,0.14987309839324112,0.01133937336436855,0.37997028098512453,26,74,47,False
2021,2022,518880.SH,True,-0.5715492558697711,0.12062253353954246,-0.11024274154641416,0.461306514323357,31,69,48,False
2021,2022,159201.SZ,False,,,,,0,100,,False
2021,2022,159206.SZ,False,,,,,0,100,,False
2021,2022,159209.SZ,False,,,,,0,100,,False
2021,2022,159326.SZ,False,,,,,0,100,,False
2021,2022,159329.SZ,False,,,,,0,100,,False
2021,2022,159509.SZ,False,,,,,0,100,,False
2021,2022,159518.SZ,False,,,,,0,100,,False
2021,2022,159529.SZ,False,,,,,0,100,,False
2021,2022,159611.SZ,False,,,,,0,100,,False
2021,2022,159687.SZ,False,,,,,0,100,,False
