method,training_period,holding_period,code,eligible,shapley_score,included_count,excluded_count,included_mean_sharpe,excluded_mean_sharpe,contribution,standard_error,rank,group,selected
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,588000.SH,True,0.19910677692831485,6,94,0.25170804842430944,0.0526012714959946,0.19910677692831485,0.22934198153610386,15,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,588200.SH,True,0.17138192220598994,7,93,0.22393286576326413,0.05255094355727419,0.17138192220598994,0.2434877754800114,16,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,513180.SH,True,0.1688113110077243,19,81,0.20128484002795016,0.03247352902022586,0.1688113110077243,0.19636295691518893,17,hong_kong,True
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,562500.SH,True,0.16022456811243085,6,94,0.21515877213737852,0.054934204024947655,0.16022456811243085,0.23046140106250043,18,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,513070.SH,True,0.15697024357753342,36,64,0.16500863400131488,0.008038390423781475,0.15697024357753342,0.12859778890669402,19,hong_kong,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,512170.SH,True,0.14850637671729228,7,93,0.2026586084587753,0.05415223174148304,0.14850637671729228,0.4503907852996734,20,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,159326.SZ,True,0.14063072484878839,9,91,0.19252163772409092,0.051890912875302536,0.14063072484878839,0.15213733544190305,21,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,515210.SH,True,0.11940790623678717,10,90,0.17201479372480194,0.05260688748801477,0.11940790623678717,0.15696175929389788,22,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,159687.SZ,True,0.09241823271763004,22,78,0.13663389963144493,0.044215666913814886,0.09241823271763004,0.13825165366169836,23,global,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,513500.SH,True,0.07961786520251157,23,77,0.1258534343176274,0.04623556911511583,0.07961786520251157,0.12373332487426943,24,global,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,510050.SH,True,0.06134940411387437,8,92,0.12098912989645791,0.05963972578258354,0.06134940411387437,0.13673385745657476,25,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,513880.SH,True,0.05761773169136499,25,75,0.10776097688021721,0.05014324518885222,0.05761773169136499,0.15548603732383193,26,global,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,513290.SH,True,0.05672605871441572,28,72,0.10539044038607279,0.04866438167165707,0.05672605871441572,0.13840770786593823,27,global,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,512980.SH,True,0.05315907403684247,9,91,0.11292243548522014,0.059763361448377676,0.05315907403684247,0.19712352806800637,28,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,512040.SH,True,0.05303425238949069,4,96,0.11546056040560455,0.06242630801611387,0.05303425238949069,0.20980788674326853,29,a_share,False
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,159901.SZ,True,0.05037315140058714,4,96,0.11290590345625713,0.06253275205567,0.05037315140058714,0.13762439308915753,30,a_share,False
