method,training_year,holding_year,code,eligible,posterior_mean_sharpe,observations,rank,group,selected
rolling_ucb_sampling,2023,2024,562500.SH,True,0.011011585508910265,4.0,57,a_share,False
rolling_ucb_sampling,2023,2024,159766.SZ,True,-0.35312479538330016,3.0,58,a_share,False
rolling_ucb_sampling,2023,2024,159201.SZ,False,,,,a_share,False
rolling_ucb_sampling,2023,2024,159206.SZ,False,,,,a_share,False
rolling_ucb_sampling,2023,2024,159209.SZ,False,,,,a_share,False
rolling_ucb_sampling,2023,2024,159326.SZ,False,,,,a_share,False
rolling_ucb_sampling,2023,2024,159329.SZ,False,,,,global,False
rolling_ucb_sampling,2023,2024,159509.SZ,False,,,,global,False
rolling_ucb_sampling,2023,2024,159518.SZ,False,,,,global,False
rolling_ucb_sampling,2023,2024,159529.SZ,False,,,,global,False
rolling_ucb_sampling,2023,2024,513400.SH,False,,,,global,False
rolling_ucb_sampling,2023,2024,513730.SH,False,,,,global,False
rolling_ucb_sampling,2023,2024,513750.SH,False,,,,hong_kong,False
rolling_ucb_sampling,2023,2024,520870.SH,False,,,,global,False
rolling_ucb_sampling,2023,2024,563300.SH,False,,,,a_share,False
rolling_ucb_sampling,2023,2024,588220.SH,False,,,,a_share,False
rolling_ucb_sampling,2024,2025,512800.SH,True,1.1897477113147477,10.0,1,a_share,True
rolling_ucb_sampling,2024,2025,159852.SZ,True,1.1806678561128046,13.0,2,a_share,True
rolling_ucb_sampling,2024,2025,512880.SH,True,1.0751104344621654,8.0,3,a_share,True
rolling_ucb_sampling,2024,2025,513100.SH,True,1.0270053154789245,37.0,4,global,True
rolling_ucb_sampling,2024,2025,159869.SZ,True,1.0266241249184045,10.0,5,a_share,False
rolling_ucb_sampling,2024,2025,512040.SH,True,1.0146694554511813,13.0,6,a_share,False
rolling_ucb_sampling,2024,2025,512890.SH,True,0.9960869228986184,11.0,7,a_share,False
rolling_ucb_sampling,2024,2025,515210.SH,True,0.9893970344693331,10.0,8,a_share,False
rolling_ucb_sampling,2024,2025,513880.SH,True,0.9765030438629417,32.0,9,global,True
rolling_ucb_sampling,2024,2025,512980.SH,True,0.9727366067113635,8.0,10,a_share,False
rolling_ucb_sampling,2024,2025,159870.SZ,True,0.9719240224254533,14.0,11,a_share,False
rolling_ucb_sampling,2024,2025,563300.SH,True,0.9607362781382375,8.0,12,a_share,False
rolling_ucb_sampling,2024,2025,510050.SH,True,0.9511751173663627,7.0,13,a_share,False
rolling_ucb_sampling,2024,2025,159509.SZ,True,0.9491930770250359,34.0,14,global,True
rolling_ucb_sampling,2024,2025,501018.SH,True,0.9480150582265953,74.0,15,commodity,True
rolling_ucb_sampling,2024,2025,513730.SH,True,0.9425728925323263,26.0,16,global,True
rolling_ucb_sampling,2024,2025,159611.SZ,True,0.9355090993096302,10.0,17,a_share,False
rolling_ucb_sampling,2024,2025,159915.SZ,True,0.9259552686664164,7.0,18,a_share,False
rolling_ucb_sampling,2024,2025,513500.SH,True,0.922660027653413,35.0,19,global,False
rolling_ucb_sampling,2024,2025,562500.SH,True,0.9174374121387705,10.0,20,a_share,False
rolling_ucb_sampling,2024,2025,513070.SH,True,0.9004450425425712,32.0,21,hong_kong,True
rolling_ucb_sampling,2024,2025,515790.SH,True,0.899369514805727,9.0,22,a_share,False
rolling_ucb_sampling,2024,2025,159985.SZ,True,0.8797066743080858,74.0,23,commodity,True
rolling_ucb_sampling,2024,2025,512100.SH,True,0.877425620828278,8.0,24,a_share,False
rolling_ucb_sampling,2024,2025,512170.SH,True,0.8751588589802184,8.0,25,a_share,False
